clg_name,fees,avg_pkg,rating
"Vishwakarma Government Engineering College - [VGEC], Ahmedabad","₹ 1,500","₹ 7,00,000",8 / 10
"The Northcap University - [NCU], Gurgaon","₹ 3,00,000","₹ 28,00,000",7.9 / 10
"LNCT University - [LNCTU], Bhopal","₹ 80,000","₹ 14,10,000",8.3 / 10
"Jaipur Engineering College and Research Centre, Jaipur","₹ 92,000","₹ 58,93,000",7.9 / 10
"Dayananda Sagar University - [DSU], Bangalore","₹ 1,19,793","₹ 25,00,000",7.7 / 10
"Techno Main Salt Lake, Kolkata","₹ 4,83,800","₹ 43,00,000",7.9 / 10
"P.P. Savani University, Surat","₹ 1,11,500","₹ 14,50,000",9 / 10
"VIT University - [VIT- AP], Guntur","₹ 1,98,000","₹ 46,00,000",8.2 / 10
"Usha Martin University - [UMU], Ranchi","₹ 1,87,000","₹ 20,30,000",7.4 / 10
"Plaksha University, Mohali","₹ 6,95,000","₹ 46,70,000",7 / 10
"Rama University, Kanpur","₹ 1,25,000","₹ 8,10,000",8 / 10
"GITAM, Visakhapatnam","₹ 2,45,000","₹ 52,63,000",7.3 / 10
"Birla Institute of Technology - [BIT], Jaipur","₹ 2,92,000","₹ 4,50,000",8.4 / 10
"Institute of Advanced Studies in Education - [IASE University], Sardarshahr","₹ 79,400","₹ 24,00,000",8.1 / 10
"Jayoti Vidyapeeth Women's University - [JVWU], Jaipur","₹ 80,000","₹ 4,50,000",8.6 / 10
"Apex University - [AU], Jaipur","₹ 1,20,000","₹ 12,00,000",7.5 / 10
"Anurag College of Engineering - [ACE], Ghatkesar","₹ 78,000","₹ 5,00,000",7.4 / 10
"Shri Govindram Seksaria Institute of Technology and Science- [SGSITS], Indore","₹ 75,550","₹ 8,00,000",7.4 / 10
"Agni College of Technology, Chennai","₹ 50,000","₹ 10,32,000",7.2 / 10
"Bengal College of Engineering and Technology - [BCET], Durgapur","₹ 86,900","₹ 15,00,000",8 / 10
"Chandigarh Engineering College - [CEC] Landran, Mohali","₹ 96,500","₹ 3,50,000",8.3 / 10
"Delhi Technical Campus - [DTC], Jhajjar","₹ 69,500","₹ 11,50,000",8.1 / 10
"Dr. B.C. Roy Engineering College - [BCREC], Durgapur","₹ 1,08,980","₹ 4,35,000",7.1 / 10
"Erode Sengunthar Engineering College, Perundurai","₹ 55,000","₹ 14,50,000",8 / 10
"Fr. Conceicao Rodrigues College of Engineering - [CRCE], Mumbai","₹ 1,62,000","₹ 4,20,000",8.2 / 10
"Geethanjali College of Engineering and Technology - [GCET] Keesara, Hyderabad","₹ 1,20,000","₹ 14,66,000",7.8 / 10
"IILM University, Greater Noida","₹ 1,75,000","₹ 4,50,000",7.7 / 10
"Inderprastha Engineering College - [IPEC], Ghaziabad","₹ 1,36,056","₹ 9,60,000",7 / 10
"Kanpur Institute of Technology - [KIT], Kanpur","₹ 55,000","₹ 7,50,000",7.6 / 10
"Kashi Institute of Technology - [KIT], Varanasi","₹ 1,10,000","₹ 8,00,000",6.6 / 10
"Lakshmi Narain College of Technology - [LNCT], Jabalpur","₹ 48,600","₹ 21,00,000",7.9 / 10
"Meenakshi Sundararajan Engineering College - [MSEC], Chennai","₹ 87,000","₹ 4,00,000",7.2 / 10
"Nandha Engineering College - [NEC], Erode","₹ 50,000","₹ 27,00,000",7.5 / 10
"Pragati Engineering College, East Godavari","₹ 63,000","₹ 47,32,000",8 / 10
"Prathyusha Engineering College - [PEC], Thiruvallur","₹ 55,000","₹ 4,50,000",7.6 / 10
"RCC Institute of Information Technology - [RCCIIT], Kolkata","₹ 1,33,200","₹ 10,00,000",8 / 10
"RMD Engineering College, Thiruvallur","₹ 55,000","₹ 12,50,000",8 / 10
"Rajiv Gandhi Institute of Technology - [RIT], Kottayam","₹ 22,000","₹ 4,60,000",7.2 / 10
"Sambhram Institute of Technology - [SAIT], Bangalore","₹ 83,560","₹ 53,00,000",7.8 / 10
"Sphoorthy Engineering College - [SPHN], Hyderabad","₹ 95,000","₹ 14,00,000",7.7 / 10
"Sri Eshwar College of Engineering - [SECE], Coimbatore","₹ 90,000","₹ 7,08,000",7.5 / 10
"SJB Institute of Technology - [SJBIT], Bangalore","₹ 1,35,000","₹ 35,00,000",6.7 / 10
"The Oxford College of Engineering, Bangalore","₹ 1,30,090","₹ 58,00,000",7.3 / 10
"Bhilai Institute of Technology - [BITR], Raipur","₹ 79,214","₹ 8,70,000",7.9 / 10
"Jaipur Engineering College - [JEC], Jaipur","₹ 85,000","₹ 19,50,000",8.2 / 10
"Vidyavardhaka College of Engineering - [VVCE], Mysore","₹ 58,806","₹ 12,00,000",7.9 / 10
"Vidya Jyothi Institute of Technology - [VJIT], Hyderabad","₹ 1,15,000","₹ 41,00,000",7.3 / 10
"Dharmsinh Desai University - [DDU], Nadiad","₹ 1,52,000","₹ 3,00,000",5.9 / 10
"Modern Vidya Niketan - [MVN University], Palwal","₹ 1,28,000","₹ 9,45,000",8.2 / 10
"Arni University, Kangra","₹ 1,05,000","₹ 11,00,000",7.7 / 10
"Bahra University - [BU], Solan","₹ 1,15,000","₹ 35,00,000",8.1 / 10
"Amrita Vishwa Vidyapeetham Bengaluru Campus, Bangalore","₹ 1,00,000","₹ 8,50,000",8.5 / 10
"Sangam University - [SU], Bhilwara","₹ 1,00,000","₹ 27,00,000",7.9 / 10
"Periyar Maniammai Institute of Science and Technology - [PMIST], Thanjavur","₹ 44,500","₹ 1,68,000",8.5 / 10
"Shri Venkateshwara University - [SVU], Amroha","₹ 1,25,000","₹ 1,80,000",8.3 / 10
"St Joseph College of Engineering, Chennai","₹ 60,000","₹ 4,50,000",7.7 / 10
"Lakshmi Narain College of Technology - [LNCT], Bhopal","₹ 1,19,400","₹ 45,00,000",8 / 10
"GMR Institute of Technology - [GMRIT], Rajam","₹ 3,03,000","₹ 3,95,220",6.7 / 10
"Government Engineering College - [GEC], Modasa","₹ 1,500","₹ 10,00,000",8.2 / 10
"Panimalar Institute of Technology-[PIT], Chennai","₹ 60,000","₹ 6,00,000",7.5 / 10
"Muthayammal Engineering College - [MEC], Namakkal","₹ 60,000","₹ 1,20,000",7.6 / 10
"Technocrats Institute of Technology - [TIT] (Excellence), Bhopal","₹ 74,400","₹ 16,00,000",7.1 / 10
"Vel Tech Rangarajan Dr. Sagunthala R and D Institute of Science and Technology - [Vel Tech], Chennai","₹ 2,50,000","₹ 3,24,409",8 / 10
"Indian Institute of Information Technology - [IIITM], Imphal","₹ 1,87,945","₹ 3,90,000",7.6 / 10
"Axis Colleges, Kanpur","₹ 1,07,050","₹ 6,50,000",7.4 / 10
"Assam Science and Technology University - [ASTU], Guwahati",--,"₹ 50,00,000",8.2 / 10
"Amity University, Greater Noida","₹ 2,06,200","₹ 2,50,000",7.2 / 10
"Netaji Subhas Institute of Technology - [NSIT], Patna","₹ 1,08,300","₹ 12,00,000",7.7 / 10
"Excel Engineering College, Namakkal","₹ 35,000","₹ 12,00,000",7.4 / 10
"Sandip University, Nashik","₹ 75,000","₹ 44,00,000",7.6 / 10
"Government College of Engineering - [GCOEN], Nagpur","₹ 27,875","₹ 6,50,000",8 / 10
"IIMT University - [IIMTU], Meerut","₹ 73,000","₹ 37,26,000",6.2 / 10
"Bengal College of Engineering - [BCE], Durgapur","₹ 98,500","₹ 3,40,000",8.6 / 10
"Sharnbasva university, Gulbarga","₹ 62,573","₹ 12,00,000",8.5 / 10
"JSS Science and Technology University -[JSSSTU], Mysore","₹ 1,05,812","₹ 5,20,000",8.7 / 10
"Muthayammal College of Engineering - [MCE], Rasipuram","₹ 85,000","₹ 19,15,000",7.4 / 10
"Dev Bhoomi Uttarakhand University - [DBUU], Dehradun","₹ 1,50,000","₹ 5,00,000",8.2 / 10
"Sri Venkateswara University - [SVU], Tirupati","₹ 25,230","₹ 15,00,000",7.9 / 10
"Assam Down Town University - [ADTU], Guwahati","₹ 1,30,000","₹ 3,84,000",7.8 / 10
"Eternal University - [EU], Sirmaur","₹ 1,18,000","₹ 10,00,000",8 / 10
"Swami Rama Himalayan University - [SRHU], Dehradun","₹ 2,44,000","₹ 7,75,000",7.6 / 10
"Seacom Skills University - [SSU], Birbhum","₹ 82,000","₹ 91,00,000",8.1 / 10
"Adichunchanagiri University - [ACU], Mandya","₹ 56,930","₹ 10,00,000",7.9 / 10
"Sardar Patel University - [SPUBGT], Balaghat","₹ 51,500","₹ 3,50,000",8.4 / 10
"Sant Baba Bhag Singh University - [SBBSU], Jalandhar","₹ 1,03,300","₹ 16,00,000",7.1 / 10
"Chandigarh College of Engineering and Technology - [CCET], Chandigarh","₹ 64,681","₹ 33,80,000",7.2 / 10
"Muzaffarpur Institute of Technology - [MIT], Muzaffarpur","₹ 1,00,000","₹ 4,23,000",7.9 / 10
"Aalim Muhammed Salegh College of Engineering - [AALIMEC], Chennai","₹ 55,000","₹ 72,00,000",7.3 / 10
"Accurate Institute of Management and Technology - [AIMT], Greater Noida","₹ 1,22,950","₹ 56,95,000",7.2 / 10
"Asians Institute of Technology, Jaipur","₹ 1,46,800","₹ 27,00,000",8.5 / 10
"Bhoj Reddy Engineering College for Women, Hyderabad","₹ 75,000","₹ 10,20,000",7.8 / 10
"Budge Budge Institute of Technology - [BBIT], Kolkata","₹ 1,14,650","₹ 32,00,000",7.7 / 10
"Calcutta Institute of Technology - [CIT], Howrah","₹ 86,500","₹ 57,00,000",7.9 / 10
"Camellia Institute of Technology - [CIT], Kolkata","₹ 1,01,500","₹ 1,30,000",6.4 / 10
"City Engineering College - [CEC], Bangalore","₹ 1,17,000","₹ 4,80,000",8 / 10
"Dream Institute of Technology, Kolkata","₹ 1,12,000","₹ 5,70,000",7.7 / 10
"Gandhi Institute for Technology - [GIFT], Bhubaneswar","₹ 81,000","₹ 12,00,000",5.8 / 10
"Government College of Engineering and Technology - [GCET], Jammu","₹ 42,920","₹ 7,30,000",6.5 / 10
"Jaya Engineering College - [JEC], Chennai","₹ 55,000","₹ 63,00,000",7.5 / 10
"KLN College of Engineering - [KLNCE], Sivaganga","₹ 60,000","₹ 19,45,000",7.8 / 10
"Kamaraj College of Engineering and Technology - [KCET], Virudhunagar","₹ 77,000","₹ 41,00,000",7.2 / 10
"MCKV Institute of Engineering - [MCKVIE], Kolkata","₹ 4,00,000","₹ 15,00,000",8.2 / 10
"Mahakal Institute of Technology - [MIT], Ujjain","₹ 57,000","₹ 19,00,000",7 / 10
"Mangalam College of Engineering Ettumanoor - [MLM], Kottayam","₹ 75,000","₹ 9,39,795",6.7 / 10
"Moradabad Institute of Technology - [MIT], Moradabad","₹ 1,14,575","₹ 51,00,000",8.1 / 10
"Muffakham Jah College of Engineering & Technology - [MJCET], Hyderabad","₹ 1,10,000","₹ 5,60,000",8.3 / 10
"NSS College of Engineering - [NSSCE], Palakkad","₹ 8,739","₹ 97,00,000",7.1 / 10
"Nalla Malla Reddy Engineering College - [NMREC], Hyderabad","₹ 95,000","₹ 3,60,000",7.4 / 10
"Narasaraopeta Engineering College - [NEC], Guntur","₹ 60,400","₹ 10,00,000",8.3 / 10
"Oriental Institute of Science and Technology - [OIST], Jabalpur","₹ 60,000","₹ 10,00,000",7.9 / 10
"Ranganathan Engineering College - [REC], Coimbatore","₹ 60,000","₹ 12,00,000",7 / 10
"SKR Engineering College, Chennai","₹ 2,00,000","₹ 35,00,000",8 / 10
"Sagar Institute of Science and Technology - [SISTec] - Sagar Group of Institutions, Bhopal","₹ 3,40,000","₹ 5,00,000",8.4 / 10
"Sai Vidya Institute of Technology - [SVIT], Bangalore","₹ 1,10,800","₹ 16,50,000",8.7 / 10
"Sikkim Manipal Institute of Technology - [SMIT], East Sikkim","₹ 3,20,000","₹ 16,50,000",7.9 / 10
"Sree Chitra Thirunal College of Engineering - [SCTCE], Thiruvananthapuram","₹ 62,668","₹ 8,60,000",7.9 / 10
"Sri Ramakrishna Institute of Technology - [SRIT], Coimbatore","₹ 50,000","₹ 20,00,000",7.3 / 10
"Sri Shakthi Institute of Engineering and Technology - [SIET], Coimbatore","₹ 50,000","₹ 3,50,000",8.4 / 10
"Thejus Engineering College, Thrissur","₹ 88,400","₹ 10,00,000",7.3 / 10
"Trinity Institute of Technology and Research, Bhopal","₹ 53,000","₹ 4,80,000",7.8 / 10
"JSPM Narhe Technical Campus - [JSPM NTC] Narhe, Pune","₹ 3,60,000","₹ 5,40,000",7.4 / 10
"VSB Engineering College - [VSBEC], Karur","₹ 45,000","₹ 3,34,000",8.4 / 10
"Vishnu Institute of Technology - [VIT], Bhimavaram","₹ 60,000","₹ 10,00,000",6.7 / 10
"PSR Engineering College, Virudhunagar","₹ 14,000","₹ 3,50,000",7.9 / 10
"Tula's Institute, Dehradun","₹ 1,10,600","₹ 18,00,000",8.3 / 10
"Velalar College of Engineering and Technology -[VCET], Erode","₹ 50,000","₹ 4,11,000",6.5 / 10
"Bhagwant University, Ajmer","₹ 84,500","₹ 13,00,000",8.2 / 10
"ICFAI University, Jaipur","₹ 1,20,000","₹ 3,00,000",8.3 / 10
"United Group of Institutions - [UGI], Greater Noida","₹ 1,29,995","₹ 17,20,000",7.8 / 10
"University School of Information, Communication and Technology - [USICT], New Delhi","₹ 1,02,000","₹ 4,50,000",8.3 / 10
"Annamacharya Institute of Technology and Sciences, Kadapa","₹ 68,700","₹ 31,75,000",7.3 / 10
"Babu Banarasi Das Institute of Technology & Management - [BBDITM], Lucknow","₹ 1,16,803","₹ 7,37,217",7.5 / 10
"JB Institute of Technology - [JBIT], Dehradun","₹ 92,000","₹ 14,00,000",9.1 / 10
"Malla Reddy Engineering College for Women - [MRECW], Secunderabad","₹ 87,000","₹ 4,73,000",6.9 / 10
"THDC Institute of Hydro Power Engineering and Technology, Garhwal","₹ 73,500","₹ 12,00,000",7.8 / 10
"St. Peter's Institute of Higher Education and Research - [SPIHER], Chennai","₹ 1,00,000","₹ 14,53,000",8 / 10
"M.S. Ramaiah University of Applied Sciences - [MSRUAS], Bangalore","₹ 2,40,000","₹ 3,50,000",7.6 / 10
"Srinivas University, Mangalore","₹ 90,000","₹ 13,50,000",8.4 / 10
"East West College of Engineering - [EWCE], Bangalore","₹ 2,35,000","₹ 6,00,000",8.2 / 10
"Global Group of Institutes, Amritsar","₹ 1,04,000","₹ 15,00,000",7.7 / 10
"Priyadarshini College of Engineering - [PCE], Nagpur","₹ 1,13,000","₹ 40,00,000",8.6 / 10
"Jeppiaar Institute of Technology - [JIT], Sriperumbudur","₹ 95,000","₹ 80,00,000",8.6 / 10
"SRM University, Amaravathi","₹ 2,50,000","₹ 3,50,000",8.5 / 10
"University of Technology - [UOT], Jaipur","₹ 90,000","₹ 13,50,000",8.6 / 10
"CT University - [CTU], Ludhiana","₹ 1,54,700","₹ 3,84,000",7.9 / 10
"Malla Reddy College of Engineering for Women - [MRCEW], Hyderabad","₹ 60,000","₹ 1,12,00,000",8.8 / 10
"Bhabha University - [BU], Bhopal","₹ 44,000","₹ 2,00,000",8 / 10
"Nalanda College of Engineering - [NCE], Chandi","₹ 12,920","₹ 3,64,000",8.7 / 10
"Indian Institute of information technology -[IIIT], Raichur","₹ 2,00,000","₹ 85,00,000",7.7 / 10
"Bakhtiyarpur College of Engineering - [BCE], Patna",--,"₹ 44,00,000",8.2 / 10
"Indian Maritime University - [IMU], Kolkata","₹ 2,25,000","₹ 45,64,000",8.1 / 10
"Shri Krishna University - [SKU], Chhatarpur","₹ 46,000","₹ 6,00,000",8.4 / 10
"Arunodaya University, Itanagar",--,"₹ 12,00,000",7.5 / 10
"Goa College of Engineering - [GEC], Ponda","₹ 59,500","₹ 5,10,000",6 / 10
"Anand Institute of Higher Technology - [AIHT], Chennai","₹ 50,000","₹ 12,50,000",7.2 / 10
"Apollo Engineering College, Poonamallee","₹ 85,000","₹ 12,40,000",7.2 / 10
"Arunai Engineering College - [AEC], Tiruvannamalai","₹ 50,000","₹ 8,50,000",6.5 / 10
"Bharati Vidyapeeth College of Engineering - [BVCOE], Kolhapur","₹ 82,301","₹ 33,00,000",7.7 / 10
"Birla Vishvakarma Mahavidyalaya Engineering College - [BVM], Vallabh Vidyanagar","₹ 1,31,000","₹ 3,40,000",7.9 / 10
"CIPET- Institute Of Plastics Technology - [IPT], Lucknow","₹ 2,00,000","₹ 10,00,000",7.1 / 10
"College of Technology and Engineering, Maharana Pratap University of Agriculture and Technology - [CTAE], Udaipur","₹ 3,15,000","₹ 5,00,000",7.3 / 10
"DMI College of Engineering - [DMICE], Chennai","₹ 60,000","₹ 40,00,000",7.2 / 10
"Darbhanga College of Engineering - [DCE], Darbhanga","₹ 29,130","₹ 4,00,000",8.2 / 10
"Dayananda Sagar Academy of Technology and Management - [DSATM], Bangalore","₹ 97,306","₹ 25,00,000",8 / 10
"Dhole Patil College of Engineering - [DPCOE], Pune","₹ 1,04,424","₹ 2,70,000",7.4 / 10
"Don Bosco Institute of Technology - [DBIT], Bangalore","₹ 2,00,000","₹ 3,00,000",8 / 10
"Dronacharya Group of Institutions - [DGI], Greater Noida","₹ 3,80,000","₹ 4,00,000",7.5 / 10
"Gandhinagar Institute of Technology - [GIT], Gandhinagar","₹ 62,000","₹ 10,00,000",8 / 10
"Government College of Engineering - [GCE], Salem","₹ 15,820","₹ 3,50,000",7.4 / 10
"Government College of Engineering and Leather Technology - [GCELT], Saltlake","₹ 35,350","₹ 7,00,000",7.4 / 10
"Government Engineering College -[GEC], Gandhinagar","₹ 18,000","₹ 5,00,000",6.6 / 10
"HMR Institute of Technology & Management - [HMRITM], New Delhi","₹ 1,15,800","₹ 32,00,000",8 / 10
"Indore Institute of Science and Technology - [IIST], Indore","₹ 60,000","₹ 2,50,000",7.6 / 10
"KSR College of Engineering, Namakkal","₹ 60,000","₹ 5,00,000",5.4 / 10
"Loyola Institute of Technology - [LIT], Chennai","₹ 55,000","₹ 5,50,000",8 / 10
"Lucknow Institute of Technology - [LIT], Lucknow","₹ 2,20,000","₹ 10,80,000",7.6 / 10
"Madha Engineering College, Chennai",--,"₹ 2,40,000",8.4 / 10
"Maharaj Vijayaram Gajapathi Raj College of Engineering - [MVGRCE], Vizianagaram","₹ 67,700","₹ 20,35,000",7.4 / 10
"Manav Rachna University - [MRU], Faridabad","₹ 2,74,500","₹ 3,00,000",8.4 / 10
"Mar Athanasius College of Engineering - [MACE], Kothamangalam","₹ 8,225","₹ 9,00,000",7.5 / 10
"Orissa Engineering College - [OEC], Bhubaneswar","₹ 86,500","₹ 2,24,920",6.7 / 10
"RD Engineering College, Ghaziabad","₹ 1,82,500","₹ 3,80,000",7.5 / 10
"Sri Indu Institute of Engineering & Technology - [SIIET], Hyderabad","₹ 93,000","₹ 4,16,000",7.1 / 10
"Rajalakshmi Institute of Technology - [RIT], Chennai","₹ 85,000","₹ 2,04,609",7.4 / 10
"Rajasthan Institute of Engineering and Technology - [RIET], Jaipur","₹ 85,000","₹ 4,60,000",7.7 / 10
"Rajshree Institute of Management and Technology - [RIMT], Bareilly","₹ 51,400","₹ 12,00,000",7.9 / 10
"SSM College of Engineering - [SSMCE], Namakkal","₹ 30,000","₹ 3,94,000",6.9 / 10
"Sam College of Engineering and Technology - [SAMCET], Bhopal","₹ 55,000","₹ 10,00,000",6.1 / 10
"Sanghvi Institute of Management and Science - [SIMS], Indore","₹ 40,000","₹ 3,50,000",7.6 / 10
"Sarvajanik College of Engineering and Technology - [SCET], Surat","₹ 1,18,000","₹ 7,00,000",7.5 / 10
"Seacom Engineering College, Howrah","₹ 2,50,000","₹ 4,53,000",7.3 / 10
"Seth Jai Parkash Mukand Lal Institute of Engineering and Technology - [JMIT], Yamuna Nagar","₹ 95,790","₹ 16,75,000",7.2 / 10
"Shah and Anchor Kutchhi Engineering College - [SAKEC], Mumbai","₹ 1,33,263","₹ 5,07,000",7.3 / 10
"Sri Indu College of Engineering and Technology - [SICET] Ibrahimpatnam, Hyderabad","₹ 93,000","₹ 28,75,000",7 / 10
"Sri Krishna Institute of Technology - [SKIT], Bangalore","₹ 45,000","₹ 10,00,000",7.1 / 10
"Sriram Engineering College - [SEC], Thiruvallur","₹ 67,700","₹ 3,50,000",8.2 / 10
"St. Thomas College of Engineering and Technology- [STC], Chengannur","₹ 58,150","₹ 18,00,000",7.3 / 10
"Swami Vivekananda Institute of Science and Technology - [SVIST], Kolkata","₹ 99,000","₹ 2,40,000",7.3 / 10
"Techno International New Town - [TINT], Kolkata","₹ 1,44,800","₹ 4,00,000",6.3 / 10
"Theem College of Engineering - [TCOE], Palghar","₹ 64,000","₹ 44,00,000",7.1 / 10
"Xavier Institute of Engineering - [XIE], Mumbai","₹ 1,57,499","₹ 2,80,000",7.5 / 10
"Velammal Institute of Technology - [VI-Tech], Thiruvallur","₹ 91,150","₹ 2,00,000",7.6 / 10
"Vignan's Institute of Information Technology - [VIIT], Visakhapatnam","₹ 52,000","₹ 5,00,000",8.7 / 10
"Knowledge Institute of Technology - [KIOT], Salem","₹ 50,000","₹ 7,43,000",8.7 / 10
"Vasireddy Venkatadri Institute of Technology - [VVIT], Guntur","₹ 55,000","₹ 22,16,000",7.6 / 10
"Rai University - [RU], Ahmedabad","₹ 71,600","₹ 5,20,000",7.8 / 10
"Sushant University / Ansal University, Gurgaon","₹ 2,02,540","₹ 13,00,000",7.3 / 10
"Islamic University of Science and Technology - [IUST], Pulwama","₹ 66,200","₹ 12,00,000",8.5 / 10
"William Carey University - [WCU], Shillong","₹ 81,000","₹ 45,00,000",7.9 / 10
"Career Point University - [CPU], Kota","₹ 1,40,000","₹ 4,00,000",7.7 / 10
"SRMIST Delhi NCR Campus, Ghaziabad","₹ 2,21,000","₹ 6,50,000",7.4 / 10
"University Institute of Engineering and Technology, Maharshi Dayanand University - [UIET], Rohtak","₹ 74,288","₹ 3,50,000",7.4 / 10
"Parala Maharaja Engineering College - [PMEC], Berhampur","₹ 33,400","₹ 7,50,000",8.4 / 10
"Alagappa College of Technology, Anna University - [ACT], Chennai","₹ 57,160","₹ 5,45,000",7.5 / 10
"Chhotubhai Gopalbhai Patel Institute of Technology, Uka Tarsadia University - [CGPIT], Bardoli","₹ 94,000","₹ 16,00,000",7.2 / 10
"K.S. School of Engineering and Management- [KSSEM], Bangalore","₹ 1,25,000","₹ 12,40,000",6.5 / 10
"University Institute of Engineering and Technology - [UIET], Kanpur","₹ 83,643","₹ 28,00,000",7.7 / 10
"Vivekananda Institute of Technology - [VIT], Jaipur","₹ 88,000","₹ 7,11,000",7.1 / 10
"PERI Institute of Technology - [PERIT], Chennai","₹ 55,000","₹ 44,91,000",8.1 / 10
"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering and Technology - [VPKBIET] Baramati, Pune","₹ 96,000","₹ 5,00,000",8.4 / 10
"Adhiparasakthi College of Engineering Arcot - [APCE], Vellore","₹ 40,000","₹ 7,18,000",8 / 10
"SRM Institute of Science and Technology Ramapuram Campus, Chennai","₹ 2,10,000","₹ 3,00,000",8.6 / 10
"St. Andrews Institute of Technology and Management - [SAITM], Gurgaon","₹ 92,000","₹ 10,00,000",7.7 / 10
"Deccan College of Engineering and Technology - [DCET], Hyderabad","₹ 72,000","₹ 1,86,000",7.8 / 10
"CMR Technical Campus - [CMRTC], Hyderabad","₹ 1,05,000","₹ 4,50,000",7.4 / 10
"Maharaja Ranjit Singh Punjab Technical University, Bathinda","₹ 89,600","₹ 15,00,000",8.3 / 10
"SRM, Institute of Technology, Lucknow","₹ 1,17,500","₹ 54,00,000",7.3 / 10
"University College of Engineering, JNTUK, Vizianagaram","₹ 15,300","₹ 3,60,000",8.7 / 10
"St.Joseph's Institute of Technology - [SJIT], Chennai","₹ 2,00,000","₹ 13,50,000",8.6 / 10
"Ramco Institute of Technology - [RIT], Rajapalayam","₹ 50,000","₹ 10,00,000",7.8 / 10
"ITM Vocational University - [ITMVU], Vadodara","₹ 69,500","₹ 45,00,000",8 / 10
"Coochbehar Government Engineering College, Cooch Behar","₹ 6,000","₹ 3,43,292",7.8 / 10
"Ramkrishna Mahato Government Engineering College, Purulia","₹ 12,220","₹ 10,00,000",7.5 / 10
"Greater Noida Institute of Technology, IPU - [GNIT], Greater Noida","₹ 1,09,500","₹ 1,20,000",8.6 / 10
"Netaji Subhas University - [NSU], Jamshedpur","₹ 70,000","₹ 2,50,000",7 / 10
"Motihari College of Engineering - [MCE], Motihari","₹ 1,05,000","₹ 6,00,000",7.9 / 10
"Ghani Khan Choudhury Institute Of Engineering and Technology -[GKCIET], Malda","₹ 27,170","₹ 4,00,000",7.6 / 10
"Greater Noida Institute of Technology (Engineering Institute), Greater Noida","₹ 1,49,400","₹ 12,00,000",8.5 / 10
"Siksha 'O' Anusandhan University - [SOA], Bhubaneswar","₹ 2,35,000","₹ 12,40,000",8.1 / 10
"NIILM University, Kaithal","₹ 65,000","₹ 5,00,000",8.5 / 10
"IEC University Baddi - [ICEU], Solan","₹ 1,18,600","₹ 28,00,000",6.5 / 10
"Jagdishprasad Jhabarmal Tibrewala University - [JJTU], Jhunjhunu","₹ 56,000","₹ 3,80,000",8 / 10
"Maulana Azad University, Jodhpur","₹ 60,500","₹ 12,00,000",7.7 / 10
"Himalayan University - [HU], Itanagar",--,"₹ 10,38,333",6.9 / 10
"Shobhit University, Gangoh","₹ 91,100","₹ 18,00,000",8.1 / 10
"St.Joseph University, Dimapur","₹ 1,23,000","₹ 10,00,000",8.5 / 10
"Radha Govind University - [RGU], Ramgarh","₹ 60,000","₹ 5,50,000",8.2 / 10
"Jawaharlal Nehru Engineering College - [JNEC], Aurangabad","₹ 1,69,000","₹ 16,00,000",7.2 / 10
"Mohamed Sathak Engineering College - [MSEC], Ramanathapuram","₹ 60,000","₹ 8,00,000",6.8 / 10
"AVS Engineering College - [AVSEC], Salem","₹ 70,000","₹ 70,00,000",7.1 / 10
"Ahmedabad Institute of Technology, Ahmedabad","₹ 71,000","₹ 15,00,000",7.3 / 10
"Alagappa Chettiar College of Engineering and Technology, Karaikudi","₹ 9,440","₹ 23,00,000",7.4 / 10
"Amritsar College of Engineering and Technology - [ACET], Amritsar","₹ 4,03,024","₹ 3,50,000",8.1 / 10
"Anand International College of Engineering, Jaipur","₹ 85,000","₹ 10,00,000",6.6 / 10
"M H Saboo Siddik College of Engineering - [MHSSCOE], Mumbai","₹ 1,41,000","₹ 7,50,000",7.8 / 10
"Aurangabad College of Engineering - [ACE], Aurangabad","₹ 60,500","₹ 2,60,000",7.6 / 10
"Drs. Kiran and Pallavi Patel Global University, Vadodara","₹ 1,17,600","₹ 5,26,000",6.7 / 10
"Cambridge Institute of Technology - [CIT], Ranchi","₹ 78,000","₹ 12,00,000",7.4 / 10
"Coimbatore Institute of Engineering and Technology - [CIET], Coimbatore","₹ 55,000","₹ 12,25,000",7.4 / 10
"College of Engineering Thalassery, Kannur","₹ 38,250","₹ 32,00,000",7.8 / 10
"D. Y. Patil College of Engineering, Pune","₹ 1,23,998","₹ 1,50,000",7.7 / 10
"Dr. Sudhir Chandra Sur Institute of Technology & Sports Complex - [SURTECH], Kolkata","₹ 4,36,403","₹ 3,00,000",7.2 / 10
"Echelon Institute of Technology, Faridabad","₹ 88,000","₹ 3,00,000",7.8 / 10
"Francis Xavier Engineering College, Tirunelveli",--,"₹ 4,08,000",8.5 / 10
"GITA Autonomous College - [GITA College], Bhubaneswar","₹ 1,25,000","₹ 12,80,000",7.8 / 10
"Global Institute of Technology - [GIT], Jaipur","₹ 96,043","₹ 36,00,000",7.2 / 10
"Godavari Institute of Engineering and Technology - [GIET] Rajahmundry, East Godavari","₹ 58,700","₹ 3,03,000",6.5 / 10
"Government College of Engineering - [GCOE], Jalgaon","₹ 82,956","₹ 18,50,000",7.7 / 10
"Guru Nanak Dev Engineering College - [GNDEC], Ludhiana","₹ 98,689","₹ 18,00,000",7.6 / 10
